gene	type	intercept	T2	acrAB	bamE	dapA	hdeA	letA	lolB	lptD	marR	mdtA	micA	mraZ	pspA	rcsA	rpoE	tolC	waaQ	ydiF	ygiM
abgT	perfect	0.664484637922835	-0.225982346133305	-0.564774227223256	-0.735450529845896	-1.58106769381747	-0.880475534061081	-0.400235341563066	-1.32428664437471	-1.23202217763879	-1.21097477171458	-6.29744751339715	-1.39815008177758	-0.321068675707587	-1.76576675094184	-0.313559568736583	-1.85093064258202	-0.912647720155119	-0.981362577223497	-8.0085831991047	-1.95834982917516
abpA	perfect	-0.713789296941025	-0.255373846809065	0.161713628323556	0.373286516337573	-0.643309389672658	-2.4864345838059	0.0648684262808431	0.0145106944754941	-0.226742091447056	1.73346626231946	-3.20931320866255	-0.00342319080765743	1.10034047902175	0.0489008331234545	0.232657766806473	-0.862893786089844	-0.0745428955562573	0.934713802114438	-3.27521020800966	0.633104880235238
abpB	perfect	-0.694161074716847	-0.216290712957849	2.16859006534134	-0.0373857638212731	-0.48713440059983	-0.389888410809431	1.16038503708485	-0.0692380045868289	0.0284750541539052	0.825155381428646	1.61400339274951	0.20644942392595	-0.152448580364206	0.296623513188431	-0.0678365378557906	-0.378135715529539	-0.397922200577538	0.298762751432637	-8.12641440316966	-1.14728034064597
abrB	perfect	-0.475466303947589	-0.376365964816767	-0.433367559601565	-0.0927354233754682	0.951915906532386	-0.530121575649302	0.371561237270246	0.38751023766994	-0.239257542293305	-0.00773533270279145	-5.9097620478955	-0.349971879920912	-0.245105186831149	-0.441388011869955	1.16312044541063	0.0943772260357596	0.840298657117554	-0.179768160791246	-3.62688517863937	-0.254722310684669
accA	mismatch	-0.754726001083131	0.0808616915085043	0.971934628580687	0.243721608532303	0.20351457020537	-1.90072733655029	-0.408546033910294	-0.180640776779339	0.676936975870321	1.04488151899669	-2.92878478702047	0.14096296119277	0.20758127570047	1.7729186508548	0.545070760537485	-0.10085330879213	2.2508493278435	-0.173927505185387	-5.46417703140048	-0.275896903592362
accA	perfect_essential	-0.202297917215788	0.0366206366000443	0.177719435828608	0.177719435828608	-0.092952676087833	0.177719435828608	0.177719435828608	0.177719435828608	0.177719435828608	0.177719435828608	-0.523693862442154	0.595602872746242	0.62666700502379	0.177719435828608	0.177719435828608	0.177719435828608	0.0929737290356375	0.177719435828608	0.177719435828608	-1.31758527441485
accB	mismatch	3.44233633249183	1.13229435405785	-5.85222621372221	-5.21021440567424	-6.60366121314123	-4.34671498125081	-5.44579921451668	-5.14097806278943	-0.410101203273577	-4.12016301249401	-11.0861801226504	-3.49248809585902	-4.85458615274718	-7.8021163761173	-5.5476537858079	-6.4891104803857	-5.65224490306317	-5.26415300755651	-7.65012208403619	-5.83413348282483
accB	perfect_essential	0.0988876995187775	-0.238789964986556	-0.657229809581842	-0.254488322898323	-1.78287565037941e-15	1.62519103489113	-0.947572579703488	-0.496168081021323	-0.222459613675353	-2.2074303836894e-15	-2.63006780079169	1.06395399216703	-0.286554612948643	-1.81973682024899	-1.12446375873942	-1.30402363338238e-15	-0.227790597696523	-1.63665107040775	-1.71139930823405	3.09422505342566
accC	mismatch	-3.33582265503325	1.49567950625475	0.817083399459073	2.05362378834674	1.26550911154428	2.89665872085274	4.20837606479514	-0.827781709526571	1.72670797398554	1.79902589796776	-0.537350615826019	1.49817945005517	2.19857765451663	0.354654198138294	1.36527926028005	3.67273957277653	1.87824713222307	1.23214013151568	-0.322552929903284	2.69879171674456
accC	perfect_essential	0.104120513348113	-0.099664318286089	-0.0608915956749853	-0.0608915956749852	-0.489646427961284	-0.0608915956749853	1.41831646562554	-0.0608915956749851	-0.0608915956749852	-0.060891595674985	-0.583201860622439	-0.0608915956749853	-0.0608915956749852	-0.301781952866664	-0.0608915956749852	-0.0608915956749851	-0.500921693627879	-0.0608915956749852	-0.0608915956749852	-0.0608915956749852
