gene	type	intercept	T2	acrAB	bamE	dapA	hdeA	letA	lolB	lptD	marR	mdtA	micA	mraZ	pspA	rcsA	rpoE	tolC	waaQ	ydiF	ygiM
acpP	perfect_essential	0.958022658177878	0.811359881017136	0.00612020885115386	0.905751587000434	0.710292944872552	0.657836894339989	1	1	1	1	1	1	1	0.728729666070836	0.782410987377507	0.550523514225247	1	0.845043296085006	8.42683268462217e-33	0.917887006929401
acpS	mismatch	1.13795699198927e-08	0.0761452288931484	5.87149122034545e-09	1.22384342230075e-07	1.22381114824663e-08	0.000448246602288584	3.03771892744301e-13	2.40052195883812e-07	6.10120491914323e-09	0.000118019367022397	2.27579238938966e-14	0.112445878265015	2.56819632946136e-07	3.5170441906672e-18	0.122294900536312	0.000322614627525849	1.00058736251157e-09	1.43072419507964e-12	8.56841124100167e-53	1.45463304716796e-07
acpS	perfect_essential	1.92679551898984e-11	0.0976356214083942	3.4622562461449e-06	2.93174783403556e-06	1.60108449099356e-08	5.06495454359195e-07	1.76699641918332e-10	7.81548763711689e-08	0.00706478818983851	2.90235294449546e-11	2.08082657566732e-18	1.45578784350553e-09	0.000580828528551998	0.654379874904083	3.9181012269526e-07	3.86784681667506e-10	1.1017168741702e-06	0.957000328191398	3.14003434540901e-61	3.76498402358554e-05
acpT	perfect	0.305360734726298	0.253179852852921	0.213500373407721	0.00626748865619375	0.308268432392727	2.05295844980692e-05	0.0155942125590089	0.999559550436574	0.764401692159964	0.96260089421138	2.83972855892791e-07	0.91782774805492	0.947599706215533	0.000682269405511226	0.0776068288550147	0.250909677959471	0.661666715937708	0.960228893277317	2.72192363559893e-12	0.567376957548222
acrA	perfect	0.594170645402291	0.229490787102305	0.101188614505023	0.116764287187205	0.472016849279474	0.693606395678231	0.141467337572351	0.758667266534216	0.356204242577828	0.596644872465185	2.25603499140515e-22	0.402023178162426	0.85316055267085	0.313438353938884	0.0416760369283914	0.135494808505969	0.189575837809971	0.511788026849923	3.79151310099626e-17	0.382131607450546
acrB	perfect	0.00423006392707967	0.104483270148403	0.0273284671379815	1.46712562116959e-24	6.64651562539137e-16	0.154076196599208	0.394338405402205	0.0019439086577718	0.0974314526952361	0.522389132389482	7.56387727308072e-27	0.178425537014326	0.263466422210313	0.135524898207268	3.89777072364882e-15	0.0942341920907732	1	0.802951681705465	3.35080822990949e-29	1.06002760074334e-15
acrD	perfect	0.000156611609910767	0.00277554398760709	0.0185643956439667	0.000320260246566537	0.472527443062558	0.693845891262815	0.363485185091561	0.538328506023923	0.295040850606415	0.153218186387328	1.68921849643224e-17	0.685639739519391	0.885155048277295	0.815223268722306	0.840121535519731	0.946742428346043	0.885848933460726	0.915426790283183	4.59514783183158e-27	0.216809340922086
acrE	perfect	9.76527030966692e-05	0.0441445819921716	0.0429149000973631	0.000420687319458823	0.00350155358783201	3.99143249309973e-11	0.000313158821942249	0.284796465085717	0.0273932667140886	0.0102762418349344	4.14534329559886e-05	0.0465839679990542	0.279565691886175	0.0326863614446953	0.0928511537453087	0.0110098459339814	0.0681177577512727	0.0003304422136455	2.13962078105221e-67	0.000323482310330032
acrF	perfect	1.81493151122593e-24	5.05454787705204e-05	1.48372461412582e-24	3.0082608783573e-18	1.00052477138107e-23	3.75577907545315e-18	1.58091404851048e-15	0.580681235519152	1.7564358881607e-16	2.34475239268661e-15	2.05986485981639e-16	9.02800414589779e-14	6.52528372540799e-15	2.37995133846345e-09	3.45050732709893e-12	3.65510109697558e-23	2.04679955290932e-18	3.07493154101939e-15	3.86196688265433e-108	9.01947954620914e-13
acrR	perfect	0.607221916951303	0.423817317325927	2.92602148578034e-05	0.145290885800072	3.87459753937844e-06	5.12024178307231e-14	2.149422524733e-05	0.0203663550484416	0.528294989766041	0.00163868588995692	4.50397585207396e-43	4.07136673691109e-07	0.00258334281513505	4.99150390258171e-11	0.017823164703803	6.02451110488285e-06	1.1830928666327e-05	1.13362497069132e-05	2.75725532156519e-31	1.72822734775818e-12
acrZ	perfect	0.0560452499441997	0.426683705242623	0.915574501975124	0.56763630552643	0.876500574620139	0.696298217329475	0.844732073654032	0.334361395384895	0.999582744941336	1	2.39283387170982e-06	0.709571259537509	0.822051737222521	0.214962548785295	1	0.408255824245103	0.614339132508298	1	3.09162837394386e-32	0.979090519659554
acs	perfect	0.000319485811569038	0.347666916861827	0.809948927880235	0.187517484248253	0.749972238736263	0.00513415045785619	0.0992858425758415	1	0.683845489659063	0.0394930087010878	2.46377023910505e-39	0.940326150122982	1	0.410217656571742	0.996561504662664	0.838727407149561	0.480054309717767	4.8333221825911e-05	3.65309828925205e-97	0.000160575046367487
actP	perfect	0.804178876350304	0.0197186481702622	0.17774209445833	0.052822098679038	0.053684231883803	0.432690305027117	0.0917307608731772	0.194953449394739	0.0895066265727147	0.0925750047243959	3.45094978413824e-22	0.120444493751512	0.0183456636656783	0.00125314478961322	0.251477375961138	0.0739412361648077	0.0186194074518177	0.310499477478707	1.07971862458545e-53	0.0893214800168565
